
TABLE_NAME                                                                                                                              COUNT                                                           
MD_DATA_DOMAIN                                                                                                                            574                                                           
MD_DATA_DOMAIN_TRANS                                                                                                                       66                                                           
MD_DIMENSION                                                                                                                               18                                                           
MD_DIMENSION_TRANS                                                                                                                         29                                                           
MD_DSP_LOGICAL_DATA_TYPE                                                                                                                   19                                                           
MD_EXPRESSION                                                                                                                              28                                                           
MD_HIERARCHY                                                                                                                                8                                                           
MD_HIERARCHY_LEVEL                                                                                                                          5                                                           
MD_HIERARCHY_LEVEL_TRANS                                                                                                                    0                                                           
MD_HIERARCHY_TRANS                                                                                                                          1                                                           
MD_LIST_DOMAIN                                                                                                                            574                                                           
MD_LIST_DOMAIN_VALUE                                                                                                                    2,744                                                           
MD_LIST_DOMAIN_VALUE_TRANS                                                                                                              5,385                                                           
MD_LOGICAL_DATA_TYPE                                                                                                                       15                                                           
MD_LOGICAL_DATA_TYPE_TRANS                                                                                                                135                                                           
MD_MEASURE                                                                                                                                  0                                                           
MD_MEASURE_APPLICATION                                                                                                                      0                                                           
MD_MEASURE_RELATIONSHIP                                                                                                                     0                                                           
MD_MEASURE_STORED                                                                                                                           0                                                           
MD_MEASURE_STORED_COLUMN                                                                                                                    0                                                           
MD_MEASURE_STORED_FILTER                                                                                                                    0                                                           
MD_MEASURE_STORED_LEVEL                                                                                                                     0                                                           
MD_METADATA_LOG                                                                                                                             1                                                           
MD_OPERATOR                                                                                                                                14                                                           
MD_OPERATOR_PARAMETER                                                                                                                       0                                                           
MD_PRIMITIVE_ATTRIBUTE                                                                                                                    115                                                           
MD_PRIMITIVE_ATTRIBUTE_TRANS                                                                                                              198                                                           
MD_PRIMITIVE_INFO                                                                                                                         191                                                           
MD_PRIMITIVE_RANGE_TRANS                                                                                                                  142                                                           
MD_PRIMITIVE_TRANS                                                                                                                          0                                                           
MD_TABLE_EXT                                                                                                                                0                                                           
MD_TABLE_EXT_TRANS                                                                                                                          0                                                           
MD_TABLE_INFO                                                                                                                             202                                                           
MD_TABLE_RELATION                                                                                                                         180                                                           
MD_TABLE_RELATION_JOIN                                                                                                                    181                                                           
MD_TABLE_RELATION_TRANS                                                                                                                     0                                                           
MD_TABLE_TRANS                                                                                                                            136                                                           
MD_TERM_INFO                                                                                                                               54                                                           
MD_TIME_PHASED_INFO                                                                                                                        62                                                           
PRT_CONSTRAINTS                                                                                                                         1,682                                                           
PRT_CONS_COLUMNS                                                                                                                        2,116                                                           
PRT_INDEXES                                                                                                                               469                                                           
PRT_IND_COLUMNS                                                                                                                           948                                                           
PRT_TABLES                                                                                                                                233                                                           
PRT_TAB_COLUMNS                                                                                                                         1,637                                                           
PWB_BASE_TABLE                                                                                                                              6                                                           
PWB_BASE_TABLE_A                                                                                                                            6                                                           
