
TABLE_NAME                                                                                                                              COUNT                                                           
EXCEPTION_DET_RESOLUTION_MAP                                                                                                                0                                                           
EXCEPTION_RESOLUTION_MAP                                                                                                                    0                                                           
EXP_LOG                                                                                                                                     0                                                           
EXP_TRACKER                                                                                                                                 0                                                           
FACET_INFO                                                                                                                                  0                                                           
FACET_META_INFO                                                                                                                             0                                                           
FAVORITE                                                                                                                                    0                                                           
FAVORITE_DETAILS                                                                                                                            0                                                           
FAVORITE_HIERARCHY                                                                                                                          0                                                           
FAV_HRCHY                                                                                                                                   0                                                           
FAV_PARAMS                                                                                                                                  0                                                           
FCST_PROCESS_RESPONSE                                                                                                                       0                                                           
FLEX_BAND_TMP                                                                                                                               0                                                           
FORM                                                                                                                                        2                                                           
GRP_TYP_RL_DEF                                                                                                                              0                                                           
HIERARCHY_MASTER                                                                                                                            0                                                           
ID_SQR                                                                                                                                      0                                                           
IMPORTED_USER                                                                                                                               0                                                           
IM_BACKEND_FAILURE_EMAIL                                                                                                                    0                                                           
IM_STRING_ID_MAP                                                                                                                            0                                                           
IM_UPDATE_LOCK                                                                                                                              0                                                           
IM_UPDATE_RECORD_TRACKER                                                                                                                    0                                                           
IM_UPDATE_STATUS                                                                                                                            0                                                           
IN_DIMENSION_MEMBER_RTNSHIP                                                                                                                 0                                                           
IN_PLC_MASTER                                                                                                                               0                                                           
IN_SOURCE_MASTER                                                                                                                            0                                                           
IN_SOURCE_MEMBER_RELATIONSHIP                                                                                                               0                                                           
IN_TIME_MASTER                                                                                                                              0                                                           
JMS_LOCK                                                                                                                                    0                                                           
LAYOUT_SPEC                                                                                                                                 0                                                           
LEVEL_MASTER                                                                                                                                0                                                           
LEVEL_RELATIONSHIP                                                                                                                          0                                                           
LOAD_HISTORY                                                                                                                                0                                                           
LOCK_TABLE                                                                                                                                  0                                                           
LOGDATE                                                                                                                                     0                                                           
LOGIN_ACCESS_RECORD                                                                                                                         0                                                           
MD$_AT_AUDIT_FIELD                                                                                                                         14                                                           
MD$_AT_REF_FIELD                                                                                                                            0                                                           
MD$_AUDIT_TRAIL                                                                                                                             2                                                           
MD$_CATEGORY                                                                                                                              103                                                           
MD$_DATA_DOMAIN                                                                                                                           112                                                           
MD$_DATA_DOMAIN_CODEMST                                                                                                                     5                                                           
MD$_DATA_DOMAIN_LOOKUP                                                                                                                      0                                                           
MD$_DATA_DOMAIN_SQLLOOKUP                                                                                                                   0                                                           
MD$_DATA_DOMAIN_VALUE                                                                                                                     267                                                           
MD$_DATA_PERSIST                                                                                                                           36                                                           
MD$_DATA_PERSIST_VALIDATION                                                                                                                 1                                                           
MD$_DOCUMENT                                                                                                                              897                                                           
MD$_DOC_KEY                                                                                                                               735                                                           
MD$_DOC_KEY_PROPERTY                                                                                                                    1,407                                                           
MD$_DOC_LINK                                                                                                                              477                                                           
MD$_DOC_LINK_PROPERTY                                                                                                                     680                                                           
MD$_DOC_PROPERTY                                                                                                                        3,311                                                           
MD$_DOC_RELATION                                                                                                                            0                                                           
MD$_DOC_RELATION_LINK                                                                                                                       0                                                           
MD$_FACET_VALUE                                                                                                                         1,764                                                           
MD$_HIERARCHY                                                                                                                               1                                                           
MD$_HIERARCHY_LEVEL                                                                                                                         1                                                           
MD$_HIERARCHY_LEVEL_PROPERTY                                                                                                                1                                                           
MD$_I18N_BUNDLE                                                                                                                             0                                                           
MD$_I18N_BUNDLE_VALUE                                                                                                                       0                                                           
MD$_I18N_KEY                                                                                                                                0                                                           
MD$_I18N_LOCALE                                                                                                                             0                                                           
MD$_LOGICAL_DATATYPE                                                                                                                    1,275                                                           
MD$_MODEL                                                                                                                                  35                                                           
MD$_MODEL_HIERARCHY                                                                                                                        19                                                           
MD$_MODEL_SVC_MAP                                                                                                                          24                                                           
MD$_PGL_TEMPLATE                                                                                                                          337                                                           
MD$_PURGE_BCKUP_TBL_MAP                                                                                                                    10                                                           
MD$_PURGE_DEF                                                                                                                               8                                                           
MD$_PURGE_DOC                                                                                                                               8                                                           
MD$_PURGE_SCHEDULE                                                                                                                          0                                                           
MD$_SERVICE_NAVLINK                                                                                                                       111                                                           
MD$_SERVICE_NAV_DYNAMIC                                                                                                                     8                                                           
MD$_SERVICE_NAV_URL                                                                                                                         1                                                           
MD$_SERVICE_NAV_URL_PARAM                                                                                                                   2                                                           
MD$_SERVICE_NAV_WEBWORKS                                                                                                                   35                                                           
MD$_SERVICE_NAV_WORKFLOW                                                                                                                   67                                                           
MD$_SERVICE_NAV_WORKFLOW_PARAM                                                                                                              6                                                           
MD$_SERVICE_PARAM                                                                                                                           0                                                           
MD$_SOLUTION                                                                                                                                0                                                           
MD$_SOLUTION_HIERARCHY                                                                                                                      0                                                           
MD$_VALIDATION                                                                                                                            174                                                           
MD$_VALID_EQUATION                                                                                                                          0                                                           
